RUC|Apellidos y Nombres o Razón social|Periodo|CAR SUNAT|Fecha de emisión|Fecha Vcto/Pago|Tipo CP/Doc.|Serie del CDP|Año|Nro CP o Doc. Nro Inicial (Rango)|Nro Final (Rango)|Tipo Doc Identidad|Nro Doc Identidad|Apellidos Nombres/ Razón  Social|BI Gravado DG|IGV / IPM DG|BI Gravado DGNG|IGV / IPM DGNG|BI Gravado DNG|IGV / IPM DNG|Valor Adq. NG|ISC|ICBPER|Otros Trib/ Cargos|Total CP|Moneda|Tipo de Cambio|Fecha Emisión Doc Modificado|Tipo CP Modificado|Serie CP Modificado|COD. DAM O DSI|Nro CP Modificado|Clasif de Bss y Sss|ID Proyecto Operadores|PorcPart|IMB|CAR Orig/ Ind E o I|Detracción|Tipo de Nota|Est. Comp.|Incal|CLU1|CLU2|CLU3|CLU4|CLU5|CLU6|CLU7|CLU8|CLU9|CLU10|CLU11|CLU12|CLU13|CLU14|CLU15|CLU16|CLU17|CLU18|CLU19|CLU20|CLU21|CLU22|CLU23|CLU24|CLU25|CLU26|CLU27|CLU28|CLU29|CLU30|CLU31|CLU32|CLU33|CLU34|CLU35|CLU36|CLU37|CLU38|CLU39
20600989147|HARD SYSTEM WEB S.A.C.|202406|2051199502801F7090000018183|01/06/2024||01|F709||18183||6|20511995028|TERPEL PERU S.A.C.|17.97|3.24|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|21.21|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB S.A.C.|202406|2051199502801F7090000018723|20/06/2024||01|F709||18723||6|20511995028|TERPEL PERU S.A.C.|18.78|3.38|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|22.16|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB S.A.C.|202406|2012776527901F7F50000052933|29/06/2024|29/06/2024|01|F7F5||52933||6|20127765279|COESTI S.A.|13.98|2.52|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|16.50|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB S.A.C.|202406|2012776527901F8F00000040123|30/06/2024|30/06/2024|01|F8F0||40123||6|20127765279|COESTI S.A.|10.04|1.81|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|11.85|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB S.A.C.|202406|2060278127601FA010000005091|22/06/2024|22/06/2024|01|FA01||5091||6|20602781276|SU XIAOYAN E.I.R.L.|51.82|5.18|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|57.00|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB SAC|202406|2049209231301FA020001631364|30/06/2024|30/06/2024|01|FA02||1631364||6|20492092313|MAKRO SUPERMAYORISTA S.A.|199.02|35.83|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|234.85|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB S.A.C.|202406|2060250589901FF040000011450|27/06/2024||01|FF04||11450||6|20602505899|CORPORACION LEÑOS CHICKEN SAC|31.36|5.64|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|37.00|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB S.A.C.|202406|2010004721801FN010021843206|18/06/2024|17/06/2024|01|FN01||21843206||6|20100047218|BANCO DE CREDITO DEL PERU|0.00|0.00|0.00|0.00|0.00|0.00|10.00|0.00|0.00|0.00|10.00|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB S.A.C.|202406|2010004721801FV150000813241|07/06/2024|01/05/2024|01|FV15||813241||6|20100047218|BANCO DE CREDITO DEL PERU|0.00|0.00|0.00|0.00|0.00|0.00|18.50|0.00|0.00|0.00|18.50|PEN|1.000|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
20600989147|HARD SYSTEM WEB S.A.C.|202406|2010004721801FV160000801999|07/06/2024|01/05/2024|01|FV16||801999||6|20100047218|BANCO DE CREDITO DEL PERU|0.00|0.00|0.00|0.00|0.00|0.00|26.22|0.00|0.00|0.00|26.22|USD|3.756|||||||||0.00||||1|0|||||||||||||||||||||||||||||||||||||||
